Wall time,Step,Value
1670929386.209179,72349,0.8125
1670929409.5973852,72399,0.75
1670929456.7940009,72499,0.65625
1670929503.4363658,72599,0.75
1670929526.533885,72649,0.96875
1670929573.4050822,72749,0.6875
1670929596.647671,72799,0.84375
1670929619.68144,72849,0.875
1670929643.1055675,72899,0.78125
1670929666.6878388,72949,0.8125
1670929690.0275457,72999,0.9375
1670929713.5842357,73049,0.875
1670929737.0060098,73099,0.75
1670929783.9716303,73199,0.90625
1670929964.1142144,73549,0.8125
1670930034.3738596,73699,0.625
1670930057.8740377,73749,0.90625
1670930104.4810498,73849,0.65625
1670930244.8129003,74149,0.875
1670930268.3089714,74199,0.9375
1670930362.1709383,74399,0.875
1670930409.2835565,74499,0.78125
1670930432.7706726,74549,0.84375
1670930502.898219,74699,0.8125
1670930526.4238107,74749,0.71875
1670930619.66929,74949,0.8125
1670930643.2660093,74999,0.84375
1670930665.2998326,75049,0.71875
1670930729.7817192,75149,0.84375
1670930892.8438833,75499,0.875
1670930916.245741,75549,0.84375
1670930939.7178593,75599,0.96875
1670930986.6243067,75699,0.9375
1670931033.4271176,75799,0.9375
1670931057.0725195,75849,0.8125
1670931220.8652825,76199,0.8125
1670931337.941779,76449,0.78125
1670931478.8742578,76749,0.65625
1670931545.636248,76899,0.84375
1670931588.4709635,76949,0.90625
1670931657.982423,77099,0.9375
1670931820.3983867,77449,0.875
1670931890.2187567,77599,0.90625
1670931913.5095012,77649,0.875
1670931936.8322897,77699,0.78125
1670932029.7304888,77899,0.96875
1670932146.6818106,78149,0.84375
1670932193.590561,78249,0.8125
1670932216.9109359,78299,0.84375
1670932240.3098173,78349,0.8125
1670932286.9371228,78449,0.90625
1670932333.8090544,78549,0.875
1670932357.5886374,78599,0.875
1670932381.1612198,78649,0.96875
1670932404.3157852,78699,0.875
1670932490.9404073,78849,0.78125
1670932537.0102015,78949,0.875
1670932583.8681107,79049,0.78125
1670932607.1597176,79099,0.84375
1670932630.3876002,79149,0.71875
1670932700.6146102,79299,0.90625
1670932817.7142422,79549,0.8125
1670932934.94812,79799,0.71875
1670932958.4099529,79849,0.9375
1670932981.863824,79899,0.84375
1670933075.7264795,80099,0.90625
1670933099.0082862,80149,0.78125
1670933122.3027565,80199,0.8125
1670933284.2969272,80549,0.71875
1670933325.8978417,80599,0.84375
1670933372.504415,80699,0.625
1670933395.7576787,80749,0.84375
1670933442.5151012,80849,0.8125
1670933583.1744108,81149,0.8125
1670933630.1979175,81249,0.8125
1670933676.9092367,81349,0.8125
1670933700.405056,81399,0.84375
1670933794.179302,81599,0.84375
1670933887.5786552,81799,0.875
1670933911.1609516,81849,0.6875
1670933934.39505,81899,0.71875
1670934004.6206243,82049,0.78125
1670934028.1227586,82099,1.0
1670934145.7858946,82349,0.90625
1670934184.3414915,82399,0.6875
1670934231.655762,82499,0.90625
1670934277.9239185,82599,0.8125
1670934301.3375394,82649,0.90625
1670934324.5012069,82699,0.8125
1670934347.883163,82749,0.8125
1670934394.4778569,82849,0.875
1670934441.3144236,82949,0.8125
1670934535.1685774,83149,0.8125
1670934581.972027,83249,0.875
1670934628.651019,83349,0.71875
1670934698.987304,83499,0.84375
1670934722.0713212,83549,0.84375
1670934816.030531,83749,0.9375
1670934886.3395941,83899,0.8125
1670934933.3062398,83999,0.90625
1670934956.714249,84049,0.84375
1670935003.3508644,84149,0.84375
1670935089.3834903,84299,0.71875
1670935112.3406827,84349,0.9375
1670935135.3678923,84399,0.875
1670935158.5512142,84449,0.8125
1670935275.0828867,84699,0.71875
1670935298.4289932,84749,0.875
1670935321.7451005,84799,0.75
1670935368.143389,84899,0.84375
1670935415.0120397,84999,0.8125
1670935438.6471372,85049,0.78125
1670935484.9447622,85149,0.78125
1670935531.7536721,85249,0.78125
1670935602.2458487,85399,0.8125
1670935648.6041443,85499,0.90625
1670935671.9768,85549,0.875
1670935695.2394137,85599,0.8125
1670935718.42179,85649,0.9375
1670935859.7997782,85949,0.96875
1670935883.2779884,85999,0.875
1670935969.758945,86149,0.84375
1670935992.9163184,86199,0.8125
1670936016.077072,86249,0.8125
1670936039.3828645,86299,0.9375
1670936155.2511733,86549,0.84375
1670936342.8375506,86949,0.96875
1670936366.3206148,86999,0.75
1670936459.7820485,87199,0.90625
1670936506.4628882,87299,0.8125
1670936576.7206912,87449,0.875
1670936600.2074866,87499,0.875
1670936623.470354,87549,0.75
1670936646.9109235,87599,0.8125
1670936693.4365036,87699,0.71875
1670936716.66985,87749,0.75
1670936803.506613,87899,0.90625
1670936919.9618394,88149,0.9375
1670936943.3980584,88199,0.8125
1670936990.3361347,88299,0.84375
1670937060.507033,88449,0.9375
1670937224.4888015,88799,0.875
1670937247.690993,88849,0.78125
1670937270.9117527,88899,0.8125
1670937341.1574054,89049,0.90625
1670937434.6393628,89249,0.9375
1670937457.968616,89299,0.8125
1670937481.37188,89349,0.875
1670937551.9075375,89499,0.96875
1670937575.3178277,89549,0.75
1670937622.0117612,89649,0.71875
1670937685.2726252,89749,0.84375
1670937731.5106914,89849,0.90625
1670937824.616325,90049,0.90625
1670937871.1994755,90149,0.84375
1670937894.3088748,90199,0.78125
1670938011.6133726,90449,0.875
1670938058.4617493,90549,0.71875
1670938152.3673742,90749,0.90625
1670938245.8269355,90949,0.71875
1670938269.2426198,90999,0.84375
1670938363.4526362,91199,0.90625
1670938434.0064075,91349,0.78125
1670938457.430076,91399,0.875
1670938504.2608552,91499,0.90625
1670938524.4636424,91549,0.71875
1670938590.8899944,91649,0.78125
1670938614.059346,91699,0.8125
1670938637.1443055,91749,0.8125
1670938683.466014,91849,0.875
1670938706.9065766,91899,0.9375
1670938730.1881533,91949,0.78125
1670938870.5086613,92249,0.84375
1670938894.0990918,92299,0.96875
1670938917.795952,92349,0.6875
1670938940.9932053,92399,0.8125
1670938964.471346,92449,0.75
1670939034.8056645,92599,0.9375
1670939081.5865726,92699,0.9375
1670939246.570713,93049,0.9375
1670939340.0066433,93249,0.875
1670939363.6536934,93299,0.78125
1670939386.6448216,93349,0.875
1670939426.8535461,93399,0.78125
1670939520.4823403,93599,0.90625
1670939543.9451044,93649,0.9375
1670939567.2408032,93699,0.84375
1670939590.5058358,93749,0.8125
1670939613.706305,93799,0.84375
1670939660.3152275,93899,0.84375
1670939730.1935132,94049,0.6875
1670939800.1586833,94199,0.90625
1670939823.5755012,94249,0.84375
1670939870.2046354,94349,0.875
1670939916.895783,94449,0.875
1670939963.492858,94549,0.8125
1670940080.2282197,94799,0.8125
1670940173.694823,94999,0.78125
1670940244.4420772,95149,0.8125
1670940354.3969574,95349,0.875
1670940400.7515,95449,0.71875
1670940424.1020608,95499,0.84375
1670940447.1456106,95549,0.84375
1670940516.9595988,95699,0.75
1670940586.7479808,95849,0.75
